指标ID,触点类别,定义,特征,维度,层级（L1~L5）,说明,量化指标,打分规则,VOD
Touch-Point001,文档：docs,README、安装文档、教程、API 手册、架构文档、FAQ、排障指南、贡献文档等所有静态文本知识载体。,属于单向静态信息媒介；以文字 / 图表为载体；开发者通过主动阅读、检索、理解完成知识输入；无实时交互，依赖认知解码完成任务。,完备性,,公共 API 是否都有对应文档条目,接口文档覆盖率 = 已在 docs/03_api_ref/ 中出现的接口数 / include/external/acl/*.h 公共接口总数,100% 满分；缺少 1 例扣 1 分,
Touch-Point002,,,,完备性,,错误码是否成体系地被描述,错误码文档化率 = docs 中已说明的错误码数 / include/external/acl/error_codes/ 中定义的错误码总数,100% 满分；缺少 1 例扣 1 分,
Touch-Point003,,,,完备性,,数据结构/枚举是否有文档,数据类型文档覆盖率 = docs 中描述的 struct/enum/typedef 数 / 头文件中公共类型总数,100% 满分；缺少  1 例扣 1 分,
Touch-Point004,,,,完备性,,关键交付物是否齐备,"章节齐全度 = {quick_start, dev_guide, api_ref, FAQ, troubleshooting, release_notes} 中实际存在的目录数 / 6",全部齐全满分；每缺一项扣 1 分,
Touch-Point005,,,,准确性,,文档签名是否与头文件一致,接口签名一致率 = 接口签名与 acl_rt.h 一致的数量 / 接口总数,100% 满分；每错 1 例扣 1 分,
Touch-Point006,,,,准确性,,链接是否有效,内/外链有效率 = 可正常跳转的链接数 / 总链接数（脚本扫描）,≥98% 满分；每降 2% 扣 1 分,
Touch-Point007,,,,一致性,,接口文档模板是否统一,"模板一致率 = 包含""描述/参数/返回值/约束/示例""五要素的接口文档数 / 接口总数",≥90% 满分；每降 10% 扣 1 分,
Touch-Point008,,,,一致性,,命名风格是否一致,命名风格一致率 = 接口/类型在文档中拼写与头文件 100% 一致的数量 / 总数,100% 满分；每错 1 例扣 0.5 分,
Touch-Point009,,,,一致性,,同一概念跨文档是否冲突,跨文档冲突数 = 同一概念在 quick_start/dev_guide/api_ref 中描述出现矛盾的数量,0 处满分；每出现 1 处扣 1 分,
Touch-Point010,,,,易获取性,,从 README 抵达 API 文档难度,入口可达层级 = README 到任意 API 详情页的最少点击/链接跳转数,≤3 跳满分；4–5 跳减 1 分；>5 跳 0 分,
Touch-Point011,,,,易获取性,,是否有索引/目录,API 索引覆盖率 = docs/03_api_ref/ 索引页中列出的接口数 / 接口总数,≥95% 满分；每降 5% 扣 1 分,
Touch-Point012,,,,易获取性,,关键词搜索可达性,"高频任务关键词命中率 = 预设 N 个关键词（如""内存申请""、""流同步""、""事件""）在 docs 中可定位到对应章节的比例",≥90% 满分；每降 10% 扣 1 分,
Touch-Point013,,,,易获取性,,多入口分流,多入口可达率 = 可同时通过 README / 目录 / 索引 三种方式到达的接口比例,≥80% 满分；每降 10% 扣 1 分,
Touch-Point014,,,,易用性,,是否提供常见问题解答,FAQ 命中率 = 近 N 个 Issue 中可被现有 FAQ 解答的比例,≥60% 满分；每降 10% 扣 1 分,
Touch-Point015,,,,易用性,,阅读门槛,可读性指数 = 抽样段落术语密度+长句率综合得分（越低越好）,设定基线，分高于基线扣分,
Touch-Point016,API：include/external/acl/acl_rt.h,对外暴露函数、结构体、枚举、环境变量、配置项、扩展接口等编码契约型交互入口。,强契约、强约束、可编程交互；是开发者心智映射到代码的直接载体；具备版本依赖、语义约束、调用依赖；属于高心智门槛、长期复用型触点。,完备性,,对标 CUDA Runtime 原子 API 是否齐,标杆产品（CUDA）原子 API 覆盖率 = 本仓 acl_rt.h 中已提供等价能力的 CUDA Runtime 原子 API 数 / CUDA Runtime 原子 API 清单总数,"≥90% 满分；每降 5% 扣 1 分；<70% 计 0 分
（需要和SE对齐接口全集）",
Touch-Point017,,,,完备性,,关键能力是否齐,"关键能力覆盖度 = {Device Management,Error Handling,Stream Management,Event Management,External Resource Interoperability,Execution Control,Occupancy,Memory Management,Stream Ordered Memory Allocator,Peer Device Memory Access,Version Management,Error Log Management ,Graph Management,Driver Entry Point Access,Execution Context Management (Green Context),C++ API Routines,Interactions with the CUDA Driver API,Profiler Control} 18 类能力中已提供 ≥1 接口的类数 / 18",9/9 满分；每缺一类扣 1 分,
Touch-Point018,,,,完备性,,接口注释完备,Doxygen 注释覆盖率 = 含 @brief/@param/@return 完整注释的接口数 / 接口总数,≥95% 满分；每降 5% 扣 1 分,
Touch-Point019,,,,易获取性,,命名可猜测,"命名规范率 = 接口名符合 ""aclrt + 动词 + 名词"" 规则的数量 / 总数",≥95% 满分；每降 5% 扣 1 分,
Touch-Point020,,,,易获取性,,模块分组清晰,分组注释率 = 头文件中按能力模块带分隔注释（如 // ===== Stream =====）的接口比例,≥80% 满分；每降 10% 扣 1 分,
Touch-Point021,,,,易用性,,签名简洁,平均入参数 = 接口参数总数/接口数目,≤5 满分；6–7 扣 1 分；≥8 扣 2 分,
Touch-Point022,,,,易用性,,错误处理一致,错误返回一致率 = 统一以 aclError 作为返回值的接口数 / 接口总数,100% 满分；每错 1 例扣 0.5 分,
Touch-Point023,,,,准确性,,接口注释准确率,准确/接口全集,错一个减一分,
Touch-Point024,源码 & 示例类,核心源码、examples 样例、Demo 工程、模板工程、适配层代码。,可阅读、可运行、可模仿、可复用的实操样本；是从理论到实践的具象载体；开发者通过模仿、复刻、溯源完成学习与问题定位；具备高实践性、高参考性。,易实践性,,运行命令数,运行命令数,≤ 3 条 满分10分；每多1条 扣1分,
Touch-Point025,,,,,,执行耗时,执行耗时,≤ 1 分钟 满分10分；每多1分钟 扣1分,
Touch-Point026,,,,,,示例输出可对照,README 示例输出与实际日志关键字段一致,100% 满分；每错 1 例扣 1 分,
Touch-Point027,,,,"易学/易理解
（认知负荷）",,风格一致,编译、代码、日志打印风格结果一致,100%全覆盖=满分10分；缺1处扣1分,
Touch-Point028,,,,,,注释密度合理,核心逻辑注释覆盖率，覆盖“初始化、申请资源、核心调用、校验、清理”,100%全覆盖=满分10分；缺1处扣1分,
Touch-Point029,,,,,,日志对应流程,日志能映射“初始化、申请资源、核心调用、校验、清理”,100%全覆盖=满分10分；缺1处扣1分,
Touch-Point030,,,,完备性,,关键API覆盖率,样例覆盖API比例,≥80% 满分；每降 10% 扣 1 分,
Touch-Point031,,,,稳定性,,多次执行一致性,多次执行结果一致,100% 满分；每 1 例不满足扣 1 分,
Touch-Point032,,,,,,资源清理,成功/失败路径都能清理已申请资源,100% 满分；每 1 例不满足扣 1 分,
